MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
185,Crazy,1207267,0.260177449,29321,52660,257225,3986
186,Crazy,790188,0.13590342,19096,52355,107965,1620
187,Crazy,728401,0.114505195,17755,52692,81929,1205
188,Crazy,455963,0.089204614,11031,52383,118297,1782
189,Crazy,741507,0.149566952,18067,52615,181293,2788
190,Crazy,1284098,0.201196489,31460,52859,155297,2355
191,Crazy,1364492,0.2315011,33220,52599,224133,3492
192,Crazy,1440719,0.239033765,35223,52781,89665,1268
193,Crazy,1514178,0.272900492,36990,52892,98029,1522
194,Crazy,1123781,0.186283226,27371,52619,159165,2371
195,Crazy,449576,0.081759834,11042,52633,91177,1419
196,Crazy,1252811,0.249972102,30643,52765,225589,3456
197,Crazy,1453739,0.245617918,35425,52653,175609,2756
198,Crazy,1112089,0.170844836,26819,52490,129137,1923
199,Crazy,822895,0.138675293,20041,52801,88785,1326
200,Crazy,841169,0.158590761,20537,52635,189717,2830
