MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
175,Crazy,360659,0.131519698,7935,52832,175505,2851
176,Crazy,112017,0.036753106,2325,52500,59569,908
177,Crazy,862325,0.188403794,20493,52731,250149,4046
178,Crazy,256161,0.075000273,5613,52568,126925,2052
179,Crazy,433733,0.104295837,9853,52795,172357,2778
180,Crazy,269338,0.073358155,5890,52430,129401,2014
181,Crazy,526057,0.162960991,11973,52654,230913,3699
182,Crazy,417957,0.099804171,9413,52695,158109,2602
183,Crazy,107674,0.033386818,2054,52464,67333,1104
184,Crazy,266110,0.070826237,5922,52571,112057,1882
185,Crazy,643517,0.157882203,14849,52660,257225,4161
186,Crazy,190019,0.060215375,3851,52355,107965,1748
187,Crazy,182570,0.049386804,3974,52692,81929,1369
188,Crazy,260561,0.068057647,5785,52383,118297,1942
189,Crazy,379720,0.104510628,8424,52615,181293,2947
190,Crazy,428876,0.101136318,9856,52859,155297,2499
191,Crazy,563990,0.137972205,13066,52599,224133,3607
192,Crazy,163567,0.047087547,3451,52781,89665,1390
193,Crazy,181059,0.051263042,3863,52892,98029,1560
194,Crazy,397213,0.109809678,8897,52619,159165,2535
195,Crazy,157935,0.047441279,3319,52633,91177,1596
196,Crazy,654830,0.14964718,15462,52765,225589,3642
197,Crazy,367446,0.124463294,8130,52653,175609,2884
198,Crazy,361299,0.082246306,8331,52490,129137,2039
199,Crazy,169886,0.051744044,3626,52801,88785,1468
200,Crazy,465276,0.118355402,10628,52635,189717,3099
